episode	total_steps	outcome	reward_sum	ma100_success	loss_critic	loss_actor	r_yaw	r_distance	r_obstacle	r_vlinear	r_vangular	r_step	r_terminal
208	51874	2	0.285	8.00	0.35973	-22.97311	0.000	1.285	0.000	0.000	0.000	0.000	-1.000
209	52023	4	1.610	8.00	0.33464	-22.84455	0.000	1.610	0.000	0.000	0.000	0.000	0.000
210	52054	2	-0.562	8.00	0.29168	-22.73245	0.000	0.438	0.000	0.000	0.000	0.000	-1.000
211	52085	2	-1.178	8.00	0.35102	-22.67891	0.000	-0.178	0.000	0.000	0.000	0.000	-1.000
212	52219	4	3.018	8.00	0.31007	-22.58490	0.000	3.018	0.000	0.000	0.000	0.000	0.000
213	52303	2	0.882	8.00	0.29020	-22.42855	0.000	1.882	0.000	0.000	0.000	0.000	-1.000
214	52469	2	3.240	8.00	0.34605	-22.27586	0.000	4.240	0.000	0.000	0.000	0.000	-1.000
215	52557	2	-0.476	8.00	0.29327	-22.15065	0.000	0.524	0.000	0.000	0.000	0.000	-1.000
216	52640	2	0.665	8.00	0.30130	-22.01851	0.000	1.665	0.000	0.000	0.000	0.000	-1.000
217	52835	4	1.130	7.00	0.32880	-21.85988	0.000	1.130	0.000	0.000	0.000	0.000	0.000
218	52921	2	0.716	7.00	0.30608	-21.67158	0.000	1.716	0.000	0.000	0.000	0.000	-1.000
219	52965	1	2.826	8.00	0.31241	-21.62859	0.000	1.826	0.000	0.000	0.000	0.000	1.000
220	53133	1	5.426	9.00	0.30256	-21.46482	0.000	4.426	0.000	0.000	0.000	0.000	1.000
221	53206	2	0.153	9.00	0.31050	-21.30945	0.000	1.153	0.000	0.000	0.000	0.000	-1.000
222	53445	2	2.031	9.00	0.29968	-21.13832	0.000	3.031	0.000	0.000	0.000	0.000	-1.000
223	53475	2	0.218	9.00	0.30980	-20.94103	0.000	1.218	0.000	0.000	0.000	0.000	-1.000
224	53537	1	2.626	10.00	0.29023	-20.91034	0.000	1.626	0.000	0.000	0.000	0.000	1.000
225	53686	4	2.005	10.00	0.28411	-20.79630	0.000	2.005	0.000	0.000	0.000	0.000	0.000
226	53748	2	0.801	10.00	0.29913	-20.67719	0.000	1.801	0.000	0.000	0.000	0.000	-1.000
227	53837	2	0.101	10.00	0.29736	-20.57066	0.000	1.101	0.000	0.000	0.000	0.000	-1.000
228	53948	2	-1.041	10.00	0.29337	-20.45699	0.000	-0.041	0.000	0.000	0.000	0.000	-1.000
229	54056	2	0.229	10.00	0.27601	-20.34028	0.000	1.229	0.000	0.000	0.000	0.000	-1.000
230	54092	1	2.708	11.00	0.30868	-20.26636	0.000	1.708	0.000	0.000	0.000	0.000	1.000
231	54246	4	3.997	11.00	0.29204	-20.15027	0.000	3.997	0.000	0.000	0.000	0.000	0.000
232	54280	1	2.708	12.00	0.30373	-20.04361	0.000	1.708	0.000	0.000	0.000	0.000	1.000
233	54312	2	-0.987	12.00	0.34640	-20.00738	0.000	0.013	0.000	0.000	0.000	0.000	-1.000
234	54468	2	-1.145	12.00	0.29757	-19.88487	0.000	-0.145	0.000	0.000	0.000	0.000	-1.000
235	54623	4	1.327	12.00	0.29614	-19.71894	0.000	1.327	0.000	0.000	0.000	0.000	0.000
236	54701	2	1.023	12.00	0.31762	-19.57228	0.000	2.023	0.000	0.000	0.000	0.000	-1.000
237	54962	4	-0.355	12.00	0.26549	-19.39246	0.000	-0.355	0.000	0.000	0.000	0.000	0.000
238	55117	1	2.721	13.00	0.25404	-19.17401	0.000	1.721	0.000	0.000	0.000	0.000	1.000
239	55148	2	-0.746	13.00	0.27801	-19.04913	0.000	0.254	0.000	0.000	0.000	0.000	-1.000
240	55189	2	-0.497	13.00	0.28937	-19.03249	0.000	0.503	0.000	0.000	0.000	0.000	-1.000
241	55295	2	0.123	13.00	0.29029	-18.94596	0.000	1.123	0.000	0.000	0.000	0.000	-1.000
242	55384	2	0.677	13.00	0.26307	-18.83725	0.000	1.677	0.000	0.000	0.000	0.000	-1.000
243	55417	2	1.515	13.00	0.25313	-18.76730	0.000	2.515	0.000	0.000	0.000	0.000	-1.000
244	55561	4	-0.430	13.00	0.26052	-18.67886	0.000	-0.430	0.000	0.000	0.000	0.000	0.000
245	55688	1	3.780	14.00	0.27975	-18.54812	0.000	2.780	0.000	0.000	0.000	0.000	1.000
